Esporte Clube Águia Negra (MS)	74
Mineros de Fresnillo	215
Cape Town Spurs F.C.	238
Atlético Acreano (AC)	73
Orlando City SC	31
Black Leopards FC	238
Vancouver Whitecaps FC	31
FC Tulsa	32
Vilhena Esporte Clube (RO)	73
Seattle Sounders FC	31
Polokwane City FC	238
Associação Desportiva Cabofriense (RJ)	66
FC Cincinnati	31
Castanhal Esporte Clube (PA)	73
Foz do Iguaçu FC	267
Orange County SC	32
Venda Football Academy	238
Tshakhuma Tsha Madzivhandila FC	238
TS Sporting FC	238
Esporte Clube Comercial (MS)	74
EC Democrata (MG)	263
Democrata Futebol Clube	263
Real Salt Lake City	31
Sampaio Corrêa Futebol e Esporte (RJ)	66
Free State Stars	238
New York City FC	31
São Francisco Futebol Clube	73
San Antonio FC	32
JDR Stars FC	238
Portland Timbers	31
University of Pretoria FC	238
Indy Eleven	32
Inter Playa del Carmen	215
Associação Olímpica de Itabaiana (SE)	257
Jomo Cosmos	238
Bragantino Clube do Pará (PA)	73
CF La Piedad	215
Baroka FC	238
Toronto FC	31
Cafetaleros de Chiapas	215
Cape Town All Stars	238
Pretoria Callies FC	238
Minnesota United FC	31
CF Montréal	31
Náutico Futebol Clube	73
Pittsburgh Riverhounds SC	32
Olaria Atlético Clube (RJ)	66
Houston Dynamo FC	31
Paraná Clube	267
Platinum City Rovers FC	238
Atlanta United FC	31
Uthongathi FC	238
Hungry Lions FC	238
River Atlético Clube (PI)	257
Inter Miami CF	31
Princesa do Solimões Esporte Clube	73
Nashville SC	31
Detroit City FC	32
